cnd_id,word_id,word_phrase,category,allow_use,consent_required,consenting_body,Examiner Information,Formatted Client Instructions (instructions)
5,123,CENTURY 21,Real Estate,Y,Y,Century 21 Real Estate Services Ltd. Incorporation # 268268,,Use Of This Term Requires Written Consent From Century 21 Real Estate Services Ltd. Incorporation # 268268. Please Scan Your Consent To bcregistries@gov.bc.ca
5,124,CENTURY XXI,Real Estate,Y,Y,Century 21 Real Estate Services Ltd. Incorporation # 268268,,Use Of This Term Requires Written Consent From Century 21 Real Estate Services Ltd. Incorporation # 268268. Please Scan Your Consent To bcregistries@gov.bc.ca
6,632,REMAX,Real Estate,Y,Y,"Re/Max Of Western Canada (1998),Llc. Incorporation Llc0413,Suite 213, 1664 Richter  Street Kelowna,  Bc  V1Y 8N3",,"Use Of Re/Max Requires Written Consent From:  Re/Max Of Western Canada (1998),Llc. Incorporation Llc0413,Suite 213, 1664 Richter  Street Kelowna,  Bc  V1Y 8N3. Please Scan Your Consent To bcregistries@gov.bc.ca
"
7,430,NATIONAL REAL ESTATE SERVICE,Real Estate,Y,Y,Nrs Block Bros.  Realty Ltd.  Incorporation #357502,,Use Of This Term Requires Written Consent From:  Nrs Block Bros.  Realty Ltd.  Incorporation #357502. Please Scan Your Consent To bcregistries@gov.bc.ca.
7,431,NATIONAL REALESTATE SERVICE,Real Estate,Y,Y,Nrs Block Bros.  Realty Ltd.  Incorporation #357502,,Use Of This Term Requires Written Consent From:  Nrs Block Bros.  Realty Ltd.  Incorporation #357502. Please Scan Your Consent To bcregistries@gov.bc.ca
7,454,NRS,Real Estate,Y,,Nrs Block Bros.  Realty Ltd.  Incorporation #357502,You may be able to use this term if it is not related to Real Estate.  Ie: West NRS Art Institute,Use Of This Term Requires Written Consent From:  Nrs Block Bros.  Realty Ltd.  Incorporation #357502. Please Scan Your Consent To bcregistries@gov.bc.ca
8,306,HOMELIFE,Real Estate,Y,,Homelife Realty  Services Inc. - (A Federally Incorporated Company),You may be able to use this term if it is not related to Real Estate.  Ie: Homelife Healthy Eating Ltd.,Use Of This Term Requires Written Consent From Homelife Realty  Services Inc. - (A Federally Incorporated Company). Please Scan Your Consent To bcregistries@gov.bc.ca
9,79,BENCHMARK,Real Estate,Y,,Homelife Realty  Services Inc. (Federally Incorporated) And From Benchmark Realty Franchise Corp. Incorporation #316169,You may be able to use this term if it is not related to Real Estate. Ie: Benchmark Sports Store,Use Of This Term Requires Written Consent From Homelife Realty  Services Inc. (Federally Incorporated) and From Benchmark Realty Franchise Corp. Incorporation #316169. Please Scan Your Consent To bcregistries@gov.bc.ca
9,307,HOMELIFE BENCHMARK,Real Estate,Y,,Homelife Realty  Services Inc. (Federally Incorporated) And From Benchmark Realty Franchise Corp. Incorporation #316169,You may be able to use this term if it is not related to Real Estate. Ie: Homelife Benchmark Sports Store,Use Of This Term Requires Written Consent From Homelife Realty  Services Inc. (Federally Incorporated) and From Benchmark Realty Franchise Corp. Incorporation #316169. Please Scan Your Consent To bcregistries@gov.bc.ca
10,703,SUTTON GROUP,Real Estate,Y,Y,Sutton Group Realty Services Ltd.  Incorporation #303572  Or Sutton Group Financial Services Ltd. A26805,,"Use Of This Term Requires Written Consent From:  Sutton Group Realty Services Ltd.  Incorporation #303572 or Sutton Group Financial Services Ltd. A26805. Please Scan Your Consent To bcregistries@gov.bc.ca
"
