word_id,word_phrase
2,211
3,211 BC
4,211 SERVICES
5,211 SOCIETY
6,4 H
7,4H
8,ABSTRACT
9,ACCESS BC
10,ACCESSBC
11,ACUPUNCTURE
12,ACUPUNCTURIST
13,ACUPUNCTURISTS
14,AGROLOGIST
15,AGROLOGISTS
16,AIBC
17,ALBERTA
18,ALFA ROMEO
19,ALRT
20,ALS
21,AMYOTROPHIC LATERAL SCLEROSIS
22,ANAVET
23,ANAVETS
24,ANIMAL CLINIC
25,ANIMAL CRUELTY
26,ANIMAL HOSPITAL
27,APOTHECAR
28,APOTHECARY
29,ARCH
30,ARCHITECT
31,ARCHITECTS
32,ARCHITECTURAL
33,ARCHITECTURE
34,ASSURANCE
35,ASSURANCES
36,ASSURANT
37,ASSURE
38,ASSUREUR
39,ASUNA
40,AUDIOLOGIST
41,AUDIOLOGY
42,AUDIOMETRIC
43,AUDIOMETRY
44,AUTHORITY
45,AUTHORIZED
46,AUTO BODY
47,B C
48,B C S
49,BALLET COMPANY
50,BANK
51,BANKER
52,BANKERS
53,BANKING
54,BANKRUPT
55,BANKRUPTCY
56,BANKS
57,BANX
58,BARRISTER
59,BARRISTERS
60,BBB
61,BC
62,BC 211
63,BC BAR
64,BC GETAWAYS
65,BC HYDRO
66,BC ONLINE
67,BC ROYAL
68,BC S
69,BC TECH
70,BC TECHNOLOGY
71,BCLS
72,BCONLINE
73,BCPROVINCE
74,BCR
75,BCTEC
76,BCTECH
77,BC TEK
78,BCTEK
79,BENCHMARK
80,BETTER BUSINESS BUREAU
81,BIG BROS
82,BIG BROTHERS
83,BIG SISTERS
84,BIKRAM
85,BIKRAMS
86,BINGO
87,BISHOP ALEXANDER CARTER CHARITABLE FUND
88,BLINDCRAFT
89,BOARD
90,BONDED
91,BRIC
92,BRITISH COLUMBIA
93,BRITISH COLUMBIA BAR
94,BRITISH COLUMBIA BAR ASSOCIATION
95,BRITISHCOLUMBIA
96,BUICK
97,BUILD BC
98,BUREAU
99,BVMS
100,C C I
101,C N R
102,C P
103,C P R
104,C T
105,C TERM
106,CA
107,CADILLAC
108,CANADA STANDARD
109,CANADAS WEST
110,CANADIAN INSTITUTE FOR THE BLIND
111,CANADIAN NATIONAL
112,CANADIAN PACIFIC
113,CARLSON WAGONLIT
114,CASINO
115,CASINOS
116,CASUALTY
117,CATERCORNER
118,CATERPLAN SERVICES
119,CBC
120,CCC
121,CDA
122,CDN PACIFIC
123,CENTURY 21
124,CENTURY XXI
125,CERTIFIED
126,CERTIFIED CONFERENCE INTERPRETER
127,CERTIFIED DENTAL ASSISTANT
128,CERTIFIED FINANCIAL PLANNER
129,CERTIFIED GENERAL ACCOUNTANT
130,CERTIFIED MANAGEMENT ACCOUNTANT
131,CERTIFIED MANAGEMENT CONSULTANT
132,CERTIFIED PROPERTY INSPECTOR
133,CERTIFIED TERMINOLOGIST
134,CERTIFIED TRANSLATOR
135,CERTIFY
136,CFP
137,CGA
138,CHARTERED ACCOUNTANT
139,CHARTERED ACCOUNTANTS
140,CHARTERED PROFESSIONAL ACCOUNTANT
141,CHARTERED PROFESSIONAL ACCOUNTANTS
142,CHEMIST
143,CHEV
144,CHEVROLET
145,CHINESE MEDICINE
146,CHRYSLER
147,CITIZENS ADVOCACY
148,CMA
149,CMC
